hzname,siteid,plotid,horizonid,pittype,latitude,longitude,hzndept,hzndepb,modifieddept,modifieddepb,midpointcm,sandtotal,silttotal,claytotal,bulkdensovendry,bulkdensfieldmoist,fieldcapacity,wiltingpoint,ksat_T,ksat_T_std
Bs1,STEI,,,Megapit,45.5074944,-89.5888861,14,28,,,21.0,50.2,40.5,9.3,,,,,31.58581,1.413534
Bs2,STEI,,,Megapit,45.5074944,-89.5888861,28,36,,,32.0,52.1,40.8,7.1,,,,,39.901289,1.454504
E/B,STEI,,,Megapit,45.5074944,-89.5888861,36,61,,,48.5,62.7,31.8,5.5,,,,,54.01639,1.271805
Bt1,STEI,,,Megapit,45.5074944,-89.5888861,61,78,,,69.5,73.1,21.1,5.8,,,,,66.896648,1.172113
Bt2,STEI,,,Megapit,45.5074944,-89.5888861,78,109,,,93.5,69.6,24.5,5.9,,,,,59.421956,1.177801
BC,STEI,,,Megapit,45.5074944,-89.5888861,109,148,,,128.5,79.2,16.3,4.5,,,,,101.542196,1.218011
Cd,STEI,,,Megapit,45.5074944,-89.5888861,148,200,,,174.0,79.1,15.2,5.7,,,,,92.398382,1.184308
Oa,TREE,,,Megapit,45.4926944,-89.5875,0,2,-2.0,0.0,1.0,83.2,12.0,4.8,,,,,139.515439,1.188086
A/E,TREE,,,Megapit,45.4926944,-89.5875,2,17,0.0,15.0,9.5,70.5,22.3,7.2,,,,,55.178528,1.154739
Bs,TREE,,,Megapit,45.4926944,-89.5875,17,33,15.0,31.0,25.0,74.2,20.3,5.5,,,,,71.497023,1.180464
E,TREE,,,Megapit,45.4926944,-89.5875,33,52,31.0,50.0,42.5,70.1,25.3,4.6,,,,,66.535035,1.212485
E/B,TREE,,,Megapit,45.4926944,-89.5875,52,66,50.0,64.0,59.0,71.9,23.4,4.7,,,,,69.62084,1.203033
2E,TREE,,,Megapit,45.4926944,-89.5875,66,107,64.0,105.0,86.5,94.8,2.5,2.7,,,,,717.9802,1.116567
2BC,TREE,,,Megapit,45.4926944,-89.5875,107,168,105.0,166.0,137.5,97.2,1.3,1.5,,,,,1039.114789,1.128826
3Cd1,TREE,,,Megapit,45.4926944,-89.5875,168,176,166.0,174.0,172.0,77.5,16.6,5.9,,,,,82.117579,1.178022
3Cd2,TREE,,,Megapit,45.4926944,-89.5875,176,200,174.0,198.0,188.0,81.0,14.4,4.6,,,,,115.743844,1.210358
A,UNDE,,,Megapit,46.2362222,-89.5391389,0,8,,,4.0,62.7,34.2,3.1,,,,,66.023279,1.396418
Bs,UNDE,,,Megapit,46.2362222,-89.5391389,8,15,,,11.5,62.6,32.1,5.3,,,,,54.857927,1.280583
E,UNDE,,,Megapit,46.2362222,-89.5391389,15,23,,,19.0,48.3,45.3,6.4,,,,,43.552156,1.62015
B's1,UNDE,,,Megapit,46.2362222,-89.5391389,23,31,,,27.0,54.5,38.9,6.6,,,,,43.362471,1.391696
B's2,UNDE,,,Megapit,46.2362222,-89.5391389,31,48,,,39.5,55.8,40.9,3.3,,,,,59.162784,1.582193
E/Bx,UNDE,,,Megapit,46.2362222,-89.5391389,48,57,,,52.5,18.6,59.4,22.0,,,,,14.070714,1.233235
2Bt1,UNDE,,,Megapit,46.2362222,-89.5391389,57,83,,,70.0,9.0,68.4,22.6,,,,,13.44978,1.306988
2Bt2,UNDE,,,Megapit,46.2362222,-89.5391389,83,114,,,98.5,8.5,69.6,21.9,,,,,13.731731,1.317208
2C1,UNDE,,,Megapit,46.2362222,-89.5391389,114,147,,,130.5,11.6,71.2,17.2,,,,,18.405717,1.285663
3C2,UNDE,,,Megapit,46.2362222,-89.5391389,147,235,,,191.0,57.9,36.8,5.3,,,,,51.579908,1.354589
Ap,KONA,,,Megapit,39.1082778,-98.6104722,0,12,,,6.0,5.5,58.6,35.9,,,,,11.600158,1.328834
Bt1,KONA,,,Megapit,39.1082778,-98.6104722,12,31,,,21.5,3.8,53.3,42.9,,,,,13.33564,1.437199
Bt2,KONA,,,Megapit,39.1082778,-98.6104722,31,54,,,42.5,3.44,52.36,44.2,,,,,13.777239,1.474209
Bt3,KONA,,,Megapit,39.1082778,-98.6104722,54,89,,,71.5,2.6,53.5,43.9,,,,,13.335748,1.523928
